URL_ID,URL,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,AVG_NUMBER_OF_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLE_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,33,6,0.6923076745562136,0.06794425075271036,574.0,27.00348432055749,240.401393728223,572.0,155,574,1235,0,7.0
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,60,31,0.31868131517932624,0.10872162472076269,837.0,40.62126642771804,351.0485065710873,804.0,340,837,2024,2,7.0
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,38,24,0.22580644797086374,0.0968749998486328,640.0,54.53125,277.8125,632.0,349,640,1795,0,8.0
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,38,75,-0.3274336254209414,0.17851500761687994,633.0,50.55292259083728,273.4211690363349,621.0,320,633,1711,0,8.0
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,22,8,0.4666666511111116,0.07832898151872329,383.0,39.1644908616188,168.86579634464752,378.0,150,383,909,0,7.0
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,87,27,0.5263157848568791,0.10251798551931834,1112.0,44.1546762589928,462.46187050359714,1097.0,491,1112,2829,0,8.0
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,32,71,-0.3786407730229051,0.14109589021767685,730.0,38.63013698630137,307.45205479452056,713.0,282,730,1735,0,7.0
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,30,9,0.5384615246548328,0.07878787862871135,495.0,54.54545454545454,219.8181818181818,493.0,270,495,1381,0,8.0
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,38,51,-0.14606741408913018,0.1449511398290698,614.0,52.28013029315961,266.51205211726386,608.0,321,614,1711,0,8.0
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,136,182,-0.1446540875954274,0.17520661147371536,1815.0,49.531680440771346,745.8126721763086,1780.0,899,1815,4803,0,8.0
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,60,20,0.4999999937500001,0.09592326127587139,834.0,51.798561151079134,354.3194244604317,823.0,432,834,2218,0,8.0
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,81,24,0.5428571376870749,0.11931818168259298,880.0,49.09090909090909,371.6363636363637,865.0,432,880,2400,0,8.0
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,13,0.49019606881968497,0.17229729671521185,296.0,54.054054054054056,140.02162162162162,296.0,160,296,799,0,8.0
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,21,27,-0.1249999973958334,0.08347826072438563,575.0,37.73913043478261,245.09565217391307,556.0,217,575,1336,0,7.0
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,35,27,0.12903225598335072,0.09024745256150297,687.0,41.92139737991266,291.56855895196503,666.0,288,687,1646,0,7.0
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,35,27,0.12903225598335072,0.09024745256150297,687.0,41.92139737991266,291.56855895196503,666.0,288,687,1646,0,7.0
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,49,12,0.6065573671056169,0.09531249985107422,640.0,44.375,273.75,626.0,284,640,1556,0,7.0
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,34,10,0.5454545330578515,0.07189542471912512,612.0,43.13725490196079,262.0549019607843,578.0,264,612,1491,0,7.0
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,62,6,0.8235293996539794,0.07399347108379382,919.0,45.37540805223069,385.7501632208923,874.0,417,919,2208,0,7.0
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,8,0,0.9999998750000157,0.03278688511152916,244.0,34.01639344262295,111.20655737704918,219.0,83,244,554,0,7.0
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,23,47,-0.34285713795918377,0.125223613371693,559.0,45.43828264758497,241.775313059034,540.0,254,559,1379,0,7.0
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,13,10,0.1304347769376184,0.1204188475370741,191.0,40.83769633507853,92.73507853403142,187.0,78,191,467,0,7.0
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,30,16,0.3043478194706996,0.06506364913003727,354.0,32.67326732673268,154.6693069306931,343.0,231,707,1594,0,7.0
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,23,3,0.7692307396449716,0.08176100603219809,318.0,38.67924528301887,142.67169811320755,306.0,123,318,738,0,7.0
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,21,11,0.3124999902343753,0.055459272000937136,577.0,24.090121317157713,240.4360485268631,549.0,139,577,1142,0,6.0
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,23,15,0.21052631024930765,0.07350096697582018,517.0,34.81624758220503,220.72649903288203,496.0,180,517,1155,0,7.0
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,29,26,0.05454545355371903,0.0846153844852071,650.0,29.846153846153843,271.9384615384615,602.0,194,650,1319,0,6.0
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,35,27,0.12903225598335072,0.10064935048595884,616.0,40.42207792207792,262.5688311688312,577.0,249,616,1436,0,7.0
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,68,34,0.33333333006535953,0.09613572092729902,1061.0,42.69557021677662,441.47822808671066,1033.0,453,1061,2586,0,7.0
